uri,activatedDate,startDate,endDate,orderNumber,notation,label,preferred_label_hu,preferred_label_et,preferred_label_fi,preferred_label_cs,preferred_label_sk,preferred_label_lt,preferred_label_lv,preferred_label_mt,preferred_label_en,preferred_label_da,preferred_label_nl,preferred_label_sv,preferred_label_hr,preferred_label_sl,preferred_label_pl,preferred_label_de,preferred_label_ro,preferred_label_it,preferred_label_pt,preferred_label_es,preferred_label_fr,preferred_label_ga,preferred_label_el,preferred_label_bg
http://data.europarl.europa.eu/org/group/EDN-513,1994-07-18,1994-07-18,1996-11-09,983,EDN,Europe of Nations Group (Coordination Group),Nemzetek Európája Csoport (Koordinációs Csoport),“Rahvusriikide Euroopa” fraktsioon (koordinatsioon),Kansakuntien Eurooppa -ryhmä (koordinointiryhmä),Skupina Evropa národů (koordinační skupina),Skupina Európa národov (Koordinacná skupina),Tautu Europos grupe (koordinacine grupe),Naciju grupas Eiropa (Koordinacijas grupa),Grupp ta’ l-Ewropa tan-Nazzjonijiet (Grupp ta’ Koordinament),Europe of Nations Group (Coordination Group),Gruppen Nationernes Europa (Koordineringsgruppe),Fractie Europa van Nationale Staten (Coördinatiegroep),Gruppen Nationernas Europa (samordningsgrupp),Klub zastupnika Europe naroda (Koordinacijska skupina),Skupina Evrope narodov (koordinacijska skupina),Grupa Europa Narodów (Grupa Koordynacyjna),Fraktion Europa der Nationen (Koordinierungsgruppe),Europa Națiunilor (Grupul de coordonare),Gruppo Europa delle nazioni (Gruppo di coordinamento),Grupo Europa das Nações (Grupo de coordenação),Grupo Europa de las Naciones (Grupo de Coordinación),Groupe Europe des Nations (Groupe de Coordination),Grúpa Eoraip na Náisiún (Grúpa Comhordaithe),Ομάδα Ευρώπη των Εθνών (Ομάδα συντονισμού),Група Европа на нациите (група за координация)
http://data.europarl.europa.eu/org/group/ENF-4908,2015-06-14,2015-06-14,2019-06-30,96399,ENF,Europe of Nations and Freedom Group,Nemzetek és Szabadság Európája képviselőcsoport,Rahvaste ja Vabaduste Euroopa fraktsioon,Kansakuntien ja vapauden Eurooppa,Skupina Evropa národů a svobody,Skupina Európa národov a slobody,Tautų ir laisvės Europos frakcija,Grupa „Nāciju un brīvības Eiropa”,Grupp għal Ewropa tan-Nazzjonijiet u tal-Libertà,Europe of Nations and Freedom Group,Gruppen Et Nationernes og Frihedens Europa,Fractie Europa van Naties en Vrijheid,Gruppen Nationernas och friheternas Europa,Klub zastupnika Europe nacija i sloboda,Skupina Evrope narodov in svobode,Grupa Europa Narodów i Wolności,Fraktion Europa der Nationen und der Freiheit,Grupul Europa Națiunilor și a Libertății,Gruppo Europa delle Nazioni e della Libertà,Grupo Europa das Nações e da Liberdade,Grupo Europa de las Naciones y de las Libertades,Groupe Europe des Nations et des Libertés,Grúpa Eoraip na Náisiún agus na Saoirse,Ομάδα «Η Ευρώπη των Εθνών και της Ελευθερίας»,Група „Европа на нациите и свободите“
http://data.europarl.europa.eu/org/group/EFD-2967,2009-07-13,2009-07-13,2014-06-29,96899,EFD,Europe of freedom and democracy Group,a Szabadság és Demokrácia Európája képviselőcsoport,Vaba ja Demokraatliku Euroopa fraktsioon,Vapaa ja demokraattinen Eurooppa,Evropa Svobody a Demokracie,Skupina Európa slobody a demokracie,Frakcija „Laisvės ir demokratijos Europa“,Grupa „Brīvības un demokrātijas Eiropa”,Grupp għall Ewropa ħielsa u demokratika,Europe of freedom and democracy Group,Gruppen for Europæisk Frihed og Demokrati,Europa van vrijheid en democratie,Gruppen Frihet och demokrati i Europa,Klub zastupnika Europe slobode i demokracije,Skupina Evropa svobode in demokracije,Europa Wolności i Demokracji,Fraktion „Europa der Freiheit und der Demokratie“,Grupul Europa Libertății și Democrației,Gruppo Europa della Libertà e della Democrazia,Europa da Liberdade e da Democracia,Europa de la Libertad y de la Democracia,Groupe Europe libertés démocratie,An Grúpa d’Eoraip na Saoirse agus an Daonlathais,Ευρώπη ελευθερίας και δημοκρατίας,Група „Европа на свободата и демокрацията”
http://data.europarl.europa.eu/org/group/C-502,1973-01-15,1973-01-15,1979-07-15,982,C,European Conservative Group,Európai Konzervatívok Csoportja,Euroopa konservatiivide fraktsioon,Euroopan konservatiivipuolueen ryhmä,Skupina Evropských konzervativců,Európska konzervatívna skupina,Europos konservatoriu grupe,Eiropas Konservativo grupa,Grupp Demokratiku Ewropew,European Conservative Group,Den europæiske konservative gruppe,Europese conservatieve Fractie,Gruppen Europeiska konservativa,Klub zastupnika europskih konzervativaca,Skupina evropskih konzervativcev,Grupa Konserwatystów Europejskich,Europäische Konservative Fraktion,Grupul Conservator European,Gruppo conservatore europeo,Grupo dos Conservadores Europeus,Grupo Conservador Europeo,Groupe conservateur européen,An Grúpa do Choimeádaigh na hEorpa,Ευρωπαϊκή Συvτηρητική Ομάδα,Група на европейските консерватори
http://data.europarl.europa.eu/org/group/ECR-2977,2009-07-13,2009-07-13,2014-06-29,94299,ECR,European Conservatives and Reformists Group,Európai Konzervatívok és Reformerek Képviselőcsoport,Euroopa Konservatiivide ja Reformistide fraktsioon,Euroopan konservatiivit ja reformistit,Skupina Evropských konzervativců a reformistů,Európski konzervatívci a reformisti,Europos konservatorių ir reformuotojų frakcija,Eiropas Konservatīvo un reformistu grupa,Grupp tal-Konservattivi u Riformisti Ewropej,European Conservatives and Reformists Group,De Europæiske Konservative og Reformister,Fractie Europese Conservatieven en Hervormers,Gruppen Europeiska konservativa och reformister,Europski konzervativci i reformisti,Skupina Evropskih konservativcev in reformistov,Europejscy Konserwatyści i Reformatorzy,Fraktion Europäische Konservative und Reformisten,Grupul Conservatorilor și Reformiștilor Europeni,Gruppo dei Conservatori e Riformisti europei,Grupo dos Conservadores e Reformistas Europeus,Grupo de los Conservadores y Reformistas Europeos,Groupe des Conservateurs et Réformistes européens,Coimeádaithe agus Leasaitheoirí na hEorpa,Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών,Европейски консерватори и реформисти
http://data.europarl.europa.eu/org/group/ECR-4275,2014-06-30,2014-06-30,2019-06-30,92299,ECR,European Conservatives and Reformists Group,Európai Konzervatívok és Reformerek képviselőcsoport,Euroopa Konservatiivide ja Reformistide fraktsioon,Euroopan konservatiivit ja reformistit,Skupina Evropských konzervativců a reformistů,Európski konzervatívci a reformisti,Europos konservatorių ir reformuotojų frakcija,Eiropas Konservatīvo un reformistu grupa,Grupp tal-Konservattivi u r-Riformisti Ewropej,European Conservatives and Reformists Group,De Europæiske Konservative og Reformister,Fractie Europese Conservatieven en Hervormers,Gruppen Europeiska konservativa och reformister,Europski konzervativci i reformisti,Skupina Evropskih konservativcev in reformistov,Europejscy Konserwatyści i Reformatorzy,Fraktion der Europäischen Konservativen und Reformer,Grupul Conservatorilor și Reformiștilor Europeni,Gruppo dei Conservatori e Riformisti europei,Grupo dos Conservadores e Reformistas Europeus,Grupo de los Conservadores y Reformistas Europeos,Groupe des Conservateurs et Réformistes européens,An Grúpa do Choimeádaigh agus Leasaitheoirí na hEorpa,Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών,Европейски консерватори и реформисти
http://data.europarl.europa.eu/org/group/ECR-5148,2019-07-01,2019-07-01,2099-12-30,93799,ECR,European Conservatives and Reformists Group,Európai Konzervatívok és Reformerek képviselőcsoport,Euroopa Konservatiivide ja Reformistide fraktsioon,Euroopan konservatiivit ja reformistit,skupina Evropských konzervativců a reformistů,Európski konzervatívci a reformisti,Europos konservatorių ir reformuotojų frakcija,Eiropas Konservatīvo un reformistu grupa,Grupp tal-Konservattivi u r-Riformisti Ewropej,European Conservatives and Reformists Group,De Europæiske Konservative og Reformister,Fractie Europese Conservatieven en Hervormers,Gruppen Europeiska konservativa och reformister,Europski konzervativci i reformisti,Skupina Evropskih konservativcev in reformistov,Europejscy Konserwatyści i Reformatorzy,Fraktion der Europäischen Konservativen und Reformer,Grupul Conservatorilor și Reformiștilor Europeni,Gruppo dei Conservatori e Riformisti europei,Grupo dos Conservadores e Reformistas Europeus,Grupo de los Conservadores y Reformistas Europeos,Groupe des Conservateurs et Réformistes européens,An Grúpa do Choimeádaigh agus Leasaitheoirí na hEorpa,Ομάδα των Ευρωπαίων Συντηρητικών και Μεταρρυθμιστών,Европейски консерватори и реформисти
http://data.europarl.europa.eu/org/group/ED-486,1979-07-16,1979-07-16,1992-04-29,997,ED,European Democratic Group,Európai Demokraták Csoportja,Euroopa demokraatide fraktsioon,Euroopan demokraattipuolueen ryhmä,Skupina evropské demokracie,Európska demokratická skupina,Europos demokratu grupe,Eiropas demokratu grupa,Grupp Demokratiku Ewropew,European Democratic Group,Den Europæiske Demokratiske Gruppe,Europese Democratische Fractie,Gruppen Europeiska demokrater,Klub zastupnika europskih demokrata,Skupina Evropski demokrati,Grupa Demokracji Europejskiej,Fraktion der Europäischen Demokraten,Grupul Democraților Europeni,Gruppo democratico europeo,Grupo dos Democratas Europeus,Grupo Demócrata Europeo,Groupe des démocrates européens,Grúpa Dhaonlathaigh na hEorpa,Ομάδα των Ευρωπαίων Δημοκρατών,Група на Европейските демократи
http://data.europarl.europa.eu/org/group/DE-499,1965-01-19,1965-01-19,1973-06-30,989,DE,European Democratic Union Group,Európai Demokratikus Unió Csoportja,Euroopa demokraatide liidu fraktsioon,Euroopan demokraattipuolueen ryhmä,Skupina Evropské demokratické unie,Skupina Európska demokratická únia,Europos demokratines sajungos grupe,Eiropas Demokratiskas apvienibas grupa,Grupp Unjoni Demokratika Ewropea,European Democratic Union Group,Den europæiske demokratiske Union Gruppe,Fractie der Europese Democratische Unie,Gruppen Europeiska demokratiska unionen,Klub zastupnika Europske demokratske unije,Skupina Evropska demokratična unija,Grupa Europejskiej Unii Demokratycznej,Fraktion der Europäischen Demokratischen Union,Grupul Uniunii Democratice Europene,Gruppo dell'Unione Democratica Europea,Grupo da União Democrática Europeia,Grupo Demócrata Europeo,Groupe de l'Union démocratique européenne,Grúpa Aontas Daonlathach na hEorpa,Ομάδα της Ευρωπαϊκής Δημoκρατικής Έvωσης,Група на Европейския демократичен съюз
http://data.europarl.europa.eu/org/group/FE-511,1994-07-18,1994-07-18,1995-07-03,1000,FE,Forza Europa Group,A Forza Europa Csoport,Forza Europa fraktsioon,Forza Europa -ryhmä,Skupina Forza Europa,Skupina Forza Europa,Forza Europa grupe,Forza Europa grupa,Grupp Forza Ewropa,Forza Europa Group,Gruppen Forza Europa,Fractie Forza Europa,Gruppen Forza Europa,Klub zastupnika Forza Europa,Skupina Forza Europa,Grupa Forza Europa,Fraktion Forza Europa,Grupul Forza Europa,Gruppo Forza Europa,Grupo Forza Europa,Grupo Forza Europa,Groupe Forza Europa,Grúpa Forza Europa,Ομάδα Forza Europa,Група Форца Европа
