MEP,firstName,familyName,persId,Civility,Gender,Status,birthCountry,politicalGroup
http://data.europarl.europa.eu/person/MEP_96952,Sylvie,Guillaume,96952,Mme,female,ACTIVE,France,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_96978,Nuno,Melo,96978,Sr.,male,ACTIVE,Portugal,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_96991,Eider,Gardiazabal Rubial,96991,Sra.,female,ACTIVE,Spain,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_96998,Evelyn,Regner,96998,Frau,female,ACTIVE,Austria,http://data.europarl.europa.eu/org/group/S&amp;D-5154
http://data.europarl.europa.eu/person/MEP_97058,Guy,Verhofstadt,97058,De Heer,male,ACTIVE,Belgium,http://data.europarl.europa.eu/org/group/Renew-5704
http://data.europarl.europa.eu/person/MEP_97133,Derk Jan,Eppink,97133,De Heer,male,ACTIVE,Netherlands,http://data.europarl.europa.eu/org/group/ECR-5148
http://data.europarl.europa.eu/person/MEP_97198,Mara,Bizzotto,97198,On.,female,ACTIVE,Italy,http://data.europarl.europa.eu/org/group/ID-5588
http://data.europarl.europa.eu/person/MEP_97236,Marie,Toussaint,97236,Mad.,female,ACTIVE,France,http://data.europarl.europa.eu/org/group/Verts/ALE-5155
http://data.europarl.europa.eu/person/MEP_97968,Andrey,Kovatchev,97968,Г-н,male,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_98341,Eva,Maydell,98341,Г-жа,female,ACTIVE,Bulgaria,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_98582,Loránt,Vincze,98582,Dl.,male,ACTIVE,Romania,http://data.europarl.europa.eu/org/group/PPE-5153
http://data.europarl.europa.eu/person/MEP_99945,Lena,Düpont,99945,Frau,female,ACTIVE,Germany,http://data.europarl.europa.eu/org/group/PPE-5153
