ep:uri,ep:isoLanguage,ep:label,skos:altLabel.hu,skos:altLabel.et,skos:altLabel.fi,skos:altLabel.cs,skos:altLabel.sk,skos:altLabel.lt,skos:altLabel.lv,skos:altLabel.mt,skos:altLabel.en,skos:altLabel.da,skos:altLabel.nl,skos:altLabel.sv,skos:altLabel.hr,skos:altLabel.sl,skos:altLabel.pl,skos:altLabel.de,skos:altLabel.ro,skos:altLabel.it,skos:altLabel.pt,skos:altLabel.es,skos:altLabel.fr,skos:altLabel.ga,skos:altLabel.el,skos:altLabel.bg,skos:prefLabel.hu,skos:prefLabel.et,skos:prefLabel.fi,skos:prefLabel.cs,skos:prefLabel.sk,skos:prefLabel.lt,skos:prefLabel.lv,skos:prefLabel.mt,skos:prefLabel.en,skos:prefLabel.da,skos:prefLabel.nl,skos:prefLabel.sv,skos:prefLabel.hr,skos:prefLabel.sl,skos:prefLabel.pl,skos:prefLabel.de,skos:prefLabel.ro,skos:prefLabel.it,skos:prefLabel.pt,skos:prefLabel.es,skos:prefLabel.fr,skos:prefLabel.ga,skos:prefLabel.el,skos:prefLabel.bg
ep:Civility_HRN.,DE,Herrn,"","","","","","","","","","","","","","","",Herrn,"","","","","","","","","","","","","","","","","","","","","","","",Herrn,"","","","","","","",""
ep:Civility_HR,NL,Hr,"","","","","","","","","","",Hr.,"","","","","","","","","","","","","","","","","","","","","","","",Hr,"","","","","","","","","","","","",""
ep:Civility_HR ,ET,Hr,"",Hr,"","","","","","","","","","","","","","","","","","","","","","","",Hr,"","","","","","","","","","","","","","","","","","","","","",""
ep:Civility_HERR,SV,Hr.,"","","","","","","","","","","",Herr,"","","","","","","","","","","","","","","","","","","","","","","",Hr.,"","","","","","","","","","","",""
ep:Civility_HR.DA,DA,Hr.,"","","","","","","","","",Hr.,"","","","","","","","","","","","","","","","","","","","","","","",Hr.,"","","","","","","","","","","","","",""
ep:Civility_IS-SINJURA,MT,Is-Sinjura,"","","","","","","",Is-Sinjura,"","","","","","","","","","","","","","","","","","","","","","","",Is-Sinjura,"","","","","","","","","","","","","","","",""
ep:Civility_IS-SUR,MT,Is-Sur,"","","","","","","",Is-Sur,"","","","","","","","","","","","","","","","","","","","","","","",Is-Sur,"","","","","","","","","","","","","","","",""
ep:Civility_L-ONOR.,MT,L-Onor.,"","","","","","","",L-Onor.,"","","","","","","","","","","","","","","","","","","","","","","",L-Onor.,"","","","","","","","","","","","","","","",""
ep:Civility_LADY,EN,Lady,"","","","","","","","",Lady,"","","","","","","","","","","","","","","","","","","","","","","",Lady,"","","","","","","","","","","","","","",""
ep:Civility_M.,FR,M.,"","","","","","","","","","","","","","","","","","","","",Monsieur,"","","","","","","","","","","","","","","","","","","","","","","",M.,"","",""
ep:Civility_M. ET MME,FR,M. et Mme,"","","","","","","","","","","","","","","","","","","","",Monsieur et Madame,"","","","","","","","","","","","","","","","","","","","","","","",M. et Mme,"","",""
ep:Civility_M/MME,FR,M. ou Mme,"","","","","","","","","","","","","","","","","","","","",Monsieur ou Madame,"","","","","","","","","","","","","","","","","","","","","","","",M. ou Mme,"","",""
ep:Civility_MM.,FR,MM.,"","","","","","","","","","","","","","","","","","","","",Messieurs,"","","","","","","","","","","","","","","","","","","","","","","",MM.,"","",""
ep:Civility_MAD.,FR,Mad.,"","","","","","","","","","","","","","","","","","","","",Mad.,"","","","","","","","","","","","","","","","","","","","","","","",Mad.,"","",""
ep:Civility_MAG.,DE,Mag.,"","","","","","","","","","","","","","","",Mag.,"","","","","","","","","","","","","","","","","","","","","","","",Mag.,"","","","","","","",""
ep:Civility_MARQ.,FR,Marq.,"","","","","","","","","","","","","","","","","","","","",Marquis,"","","","","","","","","","","","","","","","","","","","","","","",Marq.,"","",""
ep:Civility_MARQ.EN,EN,Marquess,"","","","","","","","",Marquess,"","","","","","","","","","","","","","","","","","","","","","","",Marquess,"","","","","","","","","","","","","","",""
ep:Civility_MEVR.,NL,Mevr.,"","","","","","","","","","",Mevrouw,"","","","","","","","","","","","","","","","","","","","","","","",Mevr.,"","","","","","","","","","","","",""
ep:Civility_MGR.,FR,Mgr.,"","","","","","","","","","","","","","","","","","","","",Monseigneur,"","","","","","","","","","","","","","","","","","","","","","","",Mgr.,"","",""
ep:Civility_MLLE,FR,Mlle,"","","","","","","","","","","","","","","","","","","","",Mademoiselle,"","","","","","","","","","","","","","","","","","","","","","","",Mlle,"","",""
ep:Civility_MME,FR,Mme,"","","","","","","","","","","","","","","","","","","","",Madame,"","","","","","","","","","","","","","","","","","","","","","","",Mme,"","",""
ep:Civility_MR.,EN,Mr,"","","","","","","","",Mister,"","","","","","","","","","","","","","","","","","","","","","","",Mr,"","","","","","","","","","","","","","",""
ep:Civility_MR,NL,Mr,"","","","","","","","","","",De Heer,"","","","","","","","","","","","","","","","","","","","","","","",Mr,"","","","","","","","","","","","",""
ep:Civility_MR1,GA,Mr,"","","","","","","","","","","","","","","","","","","","","",Mr,"","","","","","","","","","","","","","","","","","","","","","","",Mr,"",""
ep:Civility_M/MEVR,NL,Mr / Mevr,"","","","","","","","","","",Mr / Mevr,"","","","","","","","","","","","","","","","","","","","","","","",Mr / Mevr,"","","","","","","","","","","","",""
ep:Civility_MR. & MRS.,EN,Mr. & Mrs.,"","","","","","","","",Mr and Mrs,"","","","","","","","","","","","","","","","","","","","","","","",Mr. & Mrs.,"","","","","","","","","","","","","","",""
ep:Civility_MRS.,EN,Mrs,"","","","","","","","",Mrs,"","","","","","","","","","","","","","","","","","","","","","","",Mrs,"","","","","","","","","","","","","","",""
ep:Civility_MRS1,GA,Mrs,"","","","","","","","","","","","","","","","","","","","","",Mrs,"","","","","","","","","","","","","","","","","","","","","","","",Mrs,"",""
ep:Civility_MS.,EN,Ms,"","","","","","","","",Ms,"","","","","","","","","","","","","","","","","","","","","","","",Ms,"","","","","","","","","","","","","","",""
