Vote,Date,VoteNumber,VoteTitle,ResultFor,ResultAgainst,ResultAbstention
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/3,2019-01-16,3,A8-0471/2018 -  Marietje Schaake - Approbation,444,167,68
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/4,2019-01-16,4,A8-0472/2018 -  Iuliu Winkler - Approbation,589,73,21
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/5,2019-01-16,5,A8-0445/2018 -  Maria Arena - Am 96,291,354,38
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/6,2019-01-16,6,A8-0445/2018 -  Maria Arena - Proposition de la Commission,570,103,14
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/7,2019-01-16,7,A8-0461/2018 -  Verónica Lope Fontagné - Am 40,494,138,50
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/8,2019-01-16,8,A8-0461/2018 -  Verónica Lope Fontagné - Am 97,495,150,38
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/9,2019-01-16,9,A8-0461/2018 -  Verónica Lope Fontagné - Am 171,97,569,20
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/10,2019-01-16,10,A8-0461/2018 -  Verónica Lope Fontagné - Am 174,48,614,26
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/11,2019-01-16,11,A8-0461/2018 -  Verónica Lope Fontagné - Am 90PC2/2,467,155,61
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/12,2019-01-16,12,A8-0461/2018 -  Verónica Lope Fontagné - Am 162,198,328,161
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/13,2019-01-16,13,A8-0461/2018 -  Verónica Lope Fontagné - Am 175,116,548,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/14,2019-01-16,14,A8-0461/2018 -  Verónica Lope Fontagné - Am 176S,172,501,13
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/15,2019-01-16,15,A8-0461/2018 -  Verónica Lope Fontagné - Am 177,88,576,19
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/16,2019-01-16,16,A8-0461/2018 -  Verónica Lope Fontagné - Am 92PC3/2,474,149,64
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/17,2019-01-16,17,A8-0461/2018 -  Verónica Lope Fontagné - Am 178,118,550,18
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/18,2019-01-16,18,A8-0461/2018 -  Verónica Lope Fontagné - Am 179S,100,578,6
http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116/19,2019-01-16,19,A8-0461/2018 -  Verónica Lope Fontagné - Am 169,100,510,76
