?committee	?targetTranslationLanguage	?averageTranslationDurationInDays
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/SWE>	39.5
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/ELL>	39.0
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/FIN>	39.0
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/HRV>	39.0
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/LIT>	39.0
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/POR>	39.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/DEU>	38.75
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/RON>	38.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/SWE>	38.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/LAV>	38.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/FIN>	37.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/LAV>	37.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/LIT>	37.5
<http://data.europarl.europa.eu/resource/org/C11-3956>	<http://publications.europa.eu/resource/authority/language/NLD>	37.5
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/BUL>	37.5
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/FRA>	37.5
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/EST>	37.5
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/FRA>	37.25
<http://data.europarl.europa.eu/resource/org/C11-4967>	<http://publications.europa.eu/resource/authority/language/LAV>	37.111111111111111111111111
<http://data.europarl.europa.eu/resource/org/C11-3956>	<http://publications.europa.eu/resource/authority/language/MLT>	37.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/NLD>	37.0
<http://data.europarl.europa.eu/resource/org/C11-3956>	<http://publications.europa.eu/resource/authority/language/POR>	36.5
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/FIN>	36.5
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/BUL>	35.75
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/POR>	35.75
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/SLV>	35.25
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/CES>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/DAN>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/ELL>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/HRV>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/ITA>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/LIT>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/MLT>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/POL>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/SPA>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/SWE>	35.0
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/RON>	34.75
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/SLK>	34.75
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/BUL>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/DEU>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/HRV>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/HUN>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/MLT>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/SLK>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/SLV>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/SPA>	34.5
<http://data.europarl.europa.eu/resource/org/CS05-5047>	<http://publications.europa.eu/resource/authority/language/HUN>	34.5
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/CES>	34.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/DAN>	34.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/EST>	34.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/NLD>	34.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/POL>	34.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/POR>	34.0
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/CES>	33.0
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/DAN>	33.0
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/DEU>	33.0
<http://data.europarl.europa.eu/resource/org/C20-4976>	<http://publications.europa.eu/resource/authority/language/SLV>	33.0
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/ELL>	32.625
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/POL>	32.5
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/SLV>	32.5
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/SPA>	32.5
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/HUN>	32.375
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/MLT>	32.375
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/BUL>	32.125
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/DEU>	32.125
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/FIN>	32.125
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/HRV>	32.125
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/LIT>	32.125
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/SWE>	32.125
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/SLV>	32.035714285714285714285714
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/EST>	32.0
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/RON>	31.875
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/HRV>	31.839285714285714285714286
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/DAN>	31.75
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/HRV>	31.714285714285714285714286
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/FRA>	31.625
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/SLV>	31.571428571428571428571429
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/POR>	31.464285714285714285714286
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/POR>	31.375
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/NLD>	31.0
<http://data.europarl.europa.eu/resource/org/C10-4966>	<http://publications.europa.eu/resource/authority/language/ITA>	31.0
<http://data.europarl.europa.eu/resource/org/C16-4972>	<http://publications.europa.eu/resource/authority/language/SLK>	30.857142857142857142857143
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/SWE>	30.618181818181818181818182
<http://data.europarl.europa.eu/resource/org/C13-4969>	<http://publications.europa.eu/resource/authority/language/ITA>	30.5
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/POL>	30.4
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/SLK>	30.178571428571428571428571
<http://data.europarl.europa.eu/resource/org/C09-4965>	<http://publications.europa.eu/resource/authority/language/SLV>	30.0
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/CES>	30.0
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/ELL>	30.0
<http://data.europarl.europa.eu/resource/org/C18-4974>	<http://publications.europa.eu/resource/authority/language/ENG>	30.0
<http://data.europarl.europa.eu/resource/org/C08-4964>	<http://publications.europa.eu/resource/authority/language/ITA>	29.75
<http://data.europarl.europa.eu/resource/org/C05-4961>	<http://publications.europa.eu/resource/authority/language/DAN>	29.535714285714285714285714
